DEBUG 2024-12-30 12:29:27,219 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\pandas\core\reshape\melt.py first seen with mtime 1734592884.186944
DEBUG 2024-12-30 12:29:27,219 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\django\core\checks\compatibility\__init__.py first seen with mtime 1734592819.7666688
DEBUG 2024-12-30 12:29:27,220 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\numpy\typing\__init__.py first seen with mtime 1734592878.8937836
DEBUG 2024-12-30 12:29:27,220 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\numpy\polynomial\chebyshev.py first seen with mtime 1734592878.8337777
DEBUG 2024-12-30 12:29:27,221 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\_lib\array_api_compat\numpy\_aliases.py first seen with mtime 1734661413.5860808
DEBUG 2024-12-30 12:29:27,221 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\integrate\vode.py first seen with mtime 1734661412.5740674
DEBUG 2024-12-30 12:29:27,221 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\numpy\_core\_machar.py first seen with mtime 1734592878.966295
DEBUG 2024-12-30 12:29:27,222 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1734592819.9400046
DEBUG 2024-12-30 12:29:27,230 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1734592819.249009
DEBUG 2024-12-30 12:29:27,230 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1734592817.366516
DEBUG 2024-12-30 12:29:27,231 autoreload 37192 10332 File C:\Python312\Lib\gzip.py first seen with mtime 1725625874.0
DEBUG 2024-12-30 12:29:27,231 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\pandas\_libs\tslibs\nattype.cp312-win_amd64.pyd first seen with mtime 1734592884.807149
DEBUG 2024-12-30 12:29:27,232 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\numpy\fft\_pocketfft_umath.cp312-win_amd64.pyd first seen with mtime 1734592878.7712607
DEBUG 2024-12-30 12:29:27,232 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\pandas\io\gbq.py first seen with mtime 1734592884.2049496
DEBUG 2024-12-30 12:29:27,233 autoreload 37192 10332 File C:\Users\mrliu\OneDrive - UWA\Documents\Jialin\Work\工作\tasks\2024 12 17 Simulation\back\venv\Lib\site-packages\scipy\integrate\_quadpack.cp312-win_amd64.pyd first seen with mtime 1734661412.5890665
DEBUG 2024-12-30 12:29:27,233 autoreload 37192 10332 File C:\Python312\Lib\wsgiref\handlers.py first seen with mtime 1725625874.0
